"date","datatype","station_id","value","fl_c"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",0,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",341,"S"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",-7777,"S"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",225,"S"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",5,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",183,"S"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",46,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",163,"S"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",181,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",181,"S"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",355,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",137,"S"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",590,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",54,"S"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",547,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",56,"S"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",278,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",72,"C"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",55,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",121,"S"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",2,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",296,"S"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353604",-7777,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353604",358,"S"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",0,"S"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",171,"R"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",-7777,"C"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",133,"R"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",18,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",123,"S"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",109,"C"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",99,"S"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",329,"C"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",134,"S"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",565,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",93,"S"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",877,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",52,"S"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",824,"R"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",43,"R"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00354098",475,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00354098",42,"R"
